name,best_batchsize,epoch_time,jct,samples,minibatch_time
vgg16,512,16.19251835346222,259.0802936553955,50000,0.08128945732116699
vgg19,256,19.98342330639179,259.78450298309326,50000,0.13
squeezenet,512,9.93925791978836,357.813285112381,50000,0.031464599609375
googlenet,4096,9.32609212398529,279.7827637195587,50000,0.50
alexnet,512,108.82060443727593,2067.591484308243,50000,0.89
resnet152,2048,16.53957310089698,215.01445031166077,50000,1.20
neumf,1024,46.13329809362238,507.4662790298462,4972544,0.0031707286834716797
adgcl,32,52.773524255894905,3535.8261251449585,11929,0.06001591682434082
yolov5,32,887.28,266184.492247581482,640,0.1701216834716797
bert,8,2843.492247581482,284349.2247581482,130320,0.3101191682434082
lstm,256,265.80904150009155,2067.591484308243,37376,0.012164599609375
resnet50,1024,16.53957310089698,215.01445031166077,50000,0.1201286834716797